num_people,num_places,num_events,ratio,number_runs,time
3,15,6,0.1,5,0.047754625810703
3,15,6,0.1,5,0.058664073219479
3,15,6,0.1,5,0.052915484620025
3,15,6,0.1,5,0.06266587126891
3,15,6,0.1,5,0.061019128455082
3,20,6,0.1,5,0.045960215997184
3,20,6,0.1,5,0.045161768997787
3,20,6,0.1,5,0.04552603999764
3,20,6,0.1,5,0.055821660003858
3,20,6,0.1,5,0.043493924000359
3,25,6,0.1,5,0.055588663999515
3,25,6,0.1,5,0.062799765000818
3,25,6,0.1,5,0.051777372995275
3,25,6,0.1,5,0.052626582000812
3,25,6,0.1,5,0.048792966998008
3,30,6,0.1,5,0.051653072994668
3,30,6,0.1,5,0.048519290001423
3,30,6,0.1,5,0.043197145001614
3,30,6,0.1,5,0.050131468997279
3,30,6,0.1,5,0.04701069300063
3,35,6,0.1,5,0.046893883998564
3,35,6,0.1,5,0.05211663699447
3,35,6,0.1,5,0.070729619001213
3,35,6,0.1,5,0.053129640000407
3,35,6,0.1,5,0.046769449996646
29,15,6,0.5,5,0.327443533408732
29,15,6,0.5,5,0.326655514137674
29,15,6,0.5,5,0.345631385519155
29,15,6,0.5,5,0.373242725550372
29,15,6,0.5,5,0.31809578405846
29,20,6,0.5,5,0.335280008002883
29,20,6,0.5,5,0.359525234998728
29,20,6,0.5,5,0.362311243996373
29,20,6,0.5,5,0.371270665003976
29,20,6,0.5,5,0.315664047004248
29,25,6,0.5,5,0.348002079001162
29,25,6,0.5,5,0.377580690001196
29,25,6,0.5,5,0.354520463995868
29,25,6,0.5,5,0.382347831000516
29,25,6,0.5,5,0.319667349998781
29,30,6,0.5,5,0.354627931999858
29,30,6,0.5,5,0.377117694006302
29,30,6,0.5,5,0.369430009995995
29,30,6,0.5,5,0.372434291006357
29,30,6,0.5,5,0.335963994999474
29,35,6,0.5,5,0.371090849999746
29,35,6,0.5,5,0.377627551999467
29,35,6,0.5,5,0.362381494000147
29,35,6,0.5,5,0.389515240996843
29,35,6,0.5,5,0.349687524998444
60,15,6,1,5,0.668579903042337
60,15,6,1,5,0.677625396510193
60,15,6,1,5,0.658230759643484
60,15,6,1,5,0.719079060432341
60,15,6,1,5,0.663251372944287
60,20,6,1,5,0.707911506993696
60,20,6,1,5,0.69048351800302
60,20,6,1,5,0.671127882997098
60,20,6,1,5,0.769729920000827
60,20,6,1,5,0.617127520999929
60,25,6,1,5,0.657815869002661
60,25,6,1,5,0.694917854001687
60,25,6,1,5,0.693714068998816
60,25,6,1,5,0.802591366002162
60,25,6,1,5,0.688153871997201
60,30,6,1,5,0.698541869001929
60,30,6,1,5,0.690208009000344
60,30,6,1,5,0.698643351002829
60,30,6,1,5,0.742896600000677
60,30,6,1,5,0.702978130000702
60,35,6,1,5,0.700664657000743
60,35,6,1,5,0.725391419997322
60,35,6,1,5,0.733656463999068
60,35,6,1,5,0.722789957995701
60,35,6,1,5,0.699374101001013
120,15,6,2,5,1.28222438181743
120,15,6,2,5,1.27901002685721
120,15,6,2,5,1.2657181285054
120,15,6,2,5,1.33537890160151
120,15,6,2,5,1.26167812990796
120,20,6,2,5,1.45795051599998
120,20,6,2,5,1.31443006599875
120,20,6,2,5,1.33425978499872
120,20,6,2,5,1.31745886400313
